1
37	76
37	76
B	0	
L	0	
R	39	
37	398	189	1138
39	395	179	1129
40	393	178	1119
41	392	178	1114
42	392	176	1108
43	392	174	1103
44	393	175	1096
45	393	177	1086
46	394	181	1083
47	393	184	1080
48	393	185	1075
49	393	187	1072
50	393	191	1065
51	393	194	1064
52	393	198	1065
53	393	201	1058
54	393	203	1056
55	393	205	1058
56	394	205	1061
57	394	203	1058
58	394	204	1056
59	395	204	1056
60	395	202	1057
61	395	202	1055
62	395	202	1055
63	394	203	1057
64	394	202	1059
65	394	201	1057
66	395	202	1059
67	396	201	1056
68	397	204	1057
69	396	204	1057
70	397	203	1056
71	397	203	1058
72	397	204	1059
73	397	201	1059
74	398	199	1065
75	397	197	1073
76	394	185	1093
